arm,segment,step,reward_avg_score,actor_entropy,critic_rewards_mean,response_length_mean,num_turns_mean,val_avg_score,note
foldgrpo,main,1,0.08437500335276127,0.13911056518554688,0.08032787591218948,23313.119140625,16.766927083333332,,
foldgrpo,main,2,0.1054687537252903,0.07441713660955429,0.11746031790971756,22135.888671875,16.733072916666668,,
foldgrpo,main,3,0.0976562537252903,0.10809916257858276,0.10319890081882477,22362.431640625,16.9296875,,
foldgrpo,main,4,0.04687500186264515,0.10193989425897598,0.06320224702358246,22474.474609375,16.4296875,,
foldgrpo,main,5,0.11718750465661287,0.07081736624240875,0.13555879890918732,21041.779296875,17.100260416666668,,
foldgrpo,main,6,0.08906250353902578,0.08777690678834915,0.11117479205131531,22108.638671875,17.3125,,
foldgrpo,main,7,0.06562500260770321,0.06344252824783325,0.0882963016629219,22393.634765625,17.518229166666668,,
foldgrpo,main,8,0.08906250353902578,0.2683837115764618,0.11083203554153442,25589.59765625,17.0140625,,
foldgrpo,main,9,0.08359375316649675,0.08565646409988403,0.10521862655878067,22778.669921875,18.087239583333332,,
foldgrpo,main,10,0.12109375465661287,0.059386420994997025,0.11244377493858337,21669.505859375,17.286666666666665,0.19333333333333333,
foldgrpo,main,11,0.0648437524214387,0.21766194701194763,0.08089172095060349,25434.02734375,17.04375,,
foldgrpo,main,12,0.08437500335276127,0.1739078164100647,0.1051948070526123,24996.6796875,17.84375,,
foldgrpo,main,13,0.03750000149011612,0.06422625482082367,0.058892130851745605,22546.15625,17.53515625,,
foldgrpo,main,14,0.08828125335276127,0.04466942325234413,0.10276923328638077,21203.56640625,18.15234375,,
foldgrpo,main,15,0.04140625149011612,0.1787048876285553,0.04847512021660805,24587.181640625,17.146875,,
foldgrpo,main,16,0.13125000521540642,0.06715115159749985,0.14202049374580383,21375.16015625,16.209635416666668,,
foldgrpo,main,17,0.0976562537252903,0.10551251471042633,0.10554017126560211,21302.10546875,17.393229166666668,,
foldgrpo,main,18,0.060937502421438694,0.09893220663070679,0.07711511850357056,22822.474609375,16.791666666666668,,
foldgrpo,main,19,0.1375000048428774,0.1695454716682434,0.1377837210893631,23308.603515625,18.686197916666668,,
foldgrpo,main,20,0.042187501676380634,0.08351577818393707,0.036953456699848175,22600.140625,16.873333333333335,0.13333333333333333,
foldgrpo,main,21,0.0976562537252903,0.07694663107395172,0.08407460153102875,21835.58203125,16.76953125,,
foldgrpo,main,22,0.08437500335276127,0.16438189148902893,0.10160857439041138,22380.197265625,17.0,,
foldgrpo,main,23,0.10312500409781933,0.18859638273715973,0.09774237126111984,23262.216796875,16.751302083333332,,
foldgrpo,main,24,0.15781250596046448,0.11533608287572861,0.150824174284935,21682.1796875,16.505208333333332,,
foldgrpo,main,25,0.17265625670552254,0.09519846737384796,0.1672268956899643,20582.517578125,16.204427083333332,,
foldgrpo,main,26,0.10078125353902578,0.08548898994922638,0.10387373715639114,21562.189453125,16.463541666666668,,
foldgrpo,main,27,0.055468752048909664,0.07202094793319702,0.05189504846930504,20352.529296875,15.813802083333334,,
foldgrpo,main,28,0.0937500037252903,0.0652562752366066,0.08407643437385559,20543.51171875,16.138392857142858,,
foldgrpo,main,29,0.16406250651925802,0.09436193853616714,0.15354108810424805,20641.017578125,15.729166666666666,,
foldgrpo,main,30,0.16171875596046448,0.1279948353767395,0.16098228096961975,21821.63671875,15.08,0.20666666666666667,
foldgrpo,main,31,0.10781250428408384,0.19765596091747284,0.11031747609376907,22221.205078125,16.3515625,,
foldgrpo,main,32,0.14453125558793545,0.07734598964452744,0.1635846495628357,20531.572265625,16.149739583333332,,
foldgrpo,main,33,0.10234375391155481,0.22775934636592865,0.10767196863889694,22808.130859375,16.251302083333332,,
foldgrpo,main,34,0.162500006146729,0.1352599859237671,0.173024520277977,21523.392578125,16.178385416666668,,
foldgrpo,main,35,0.08437500335276127,0.19652730226516724,0.07999999821186066,21355.810546875,15.678385416666666,,
foldgrpo,main,36,0.17343750689178705,0.06342928856611252,0.1655346006155014,18321.607421875,17.325892857142858,,
foldgrpo,main,37,0.2203125087544322,0.06495212018489838,0.2099110633134842,18336.87109375,14.510044642857142,,
foldgrpo,main,38,0.10625000391155481,0.06738623976707458,0.09132076054811478,19007.00390625,16.049107142857142,,
foldgrpo,main,39,0.08359375316649675,0.22045545279979706,0.07061924040317535,20775.603515625,15.477864583333334,,
foldgrpo,main,40,0.1265625050291419,0.12383092939853668,0.11759890615940094,18468.232421875,15.62,0.26666666666666666,
foldgrpo,main,41,0.21796875819563866,0.13190782070159912,0.19864313304424286,18852.416015625,14.830729166666666,,
foldgrpo,main,42,0.17734375689178705,0.12386880069971085,0.16830602288246155,18488.8828125,13.993489583333334,,
