instance_id,uid,gen_uid,workflow,score,success,is_finish,stop_reason,n_branches,branch_limit_hit,prompt_tokens,gen_tokens,frame_tokens,obs_tokens,comp_in_tokens,comp_gen_tokens,summary_gen_tokens,total_e2e_tokens,turns,tool_calls,branch_calls,forward_passes,cum_prompt_tokens,peak_ctx,mean_ctx,main_ctx_final,main_growth,overlong,empty_think_turns,has_fold,search_calls,open_page_calls,session_time,post_gen,post_obs,post_comp_in,post_comp_gen,post_turns,post_tool_calls,post_passes,post_cum_prompt,post_branch_calls,post_total,pre_gen,pre_obs,pre_comp_in,pre_comp_gen,pre_turns,pre_tool_calls,pre_passes,pre_cum_prompt,pre_branch_calls,pre_total,cell,mode,arm,wf
580,02e7f8aa-d1f4-432c-b580-d057268d913a,3bb5d386-ba2a-4d49-b002-aa1139a83b10,search,0.0,0,0,llm_none,0,0,5191,1199,24,34292,0,0,0,40706,8,8,0,8,179287,35130,22410.875,40709,35515,1,6,0,8,5,41.72776985168457,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
863,5d6b8b4e-067e-4169-8c80-80f44f16f55c,c1630c52-6eda-4b87-a392-1a7d272e7c54,search,0.0,0,0,llm_none,0,0,5116,1390,45,36593,0,0,0,43144,15,15,0,15,320943,37463,21396.2,43147,38028,1,14,0,7,8,45.32455372810364,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
925,3dcd4376-31a4-4116-8fc2-8f5c1dbd6e86,22dbc2d1-98ed-4791-ad83-bc134f39b204,search,0.0,0,1,finish,0,0,5089,1083,12,9377,0,0,0,15561,4,3,0,4,48517,15561,12129.25,15564,10472,0,2,0,1,2,37.61909079551697,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
644,ee911bd5-f16b-4801-86fe-d96a16f4fc21,498a8e2b-1f31-4ac9-b98c-6007e81491b5,search,0.0,0,1,finish,0,0,5133,1116,12,14851,0,0,0,21112,4,3,0,4,58063,21112,14515.75,21115,15979,0,2,0,2,1,37.96522355079651,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
478,0924a687-e578-4129-9db6-f6686d7591da,f7b7e0b0-3fad-403f-92e5-1d7b755c442f,search,0.0,0,0,llm_none,0,0,5255,1315,27,32080,0,0,0,38677,9,9,0,9,177632,32956,19736.88888888889,38680,33422,1,6,0,7,3,47.55136728286743,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
980,2e8b0db7-f4cb-4632-bc94-b2db0d80e615,39f6e559-8da0-4d8b-a8fc-f4c4f2f17354,search,0.0,0,1,finish,0,0,5100,1549,3,0,0,0,0,6652,1,0,0,1,5103,6652,5103.0,6655,1552,0,0,0,2,2,47.254676818847656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1161,cec359e6-b74c-4b5c-83eb-fb8006d87335,82f8ca68-45ce-43fc-be0c-6ef056da6ed6,search,0.0,0,0,llm_none,0,0,5089,1141,18,37799,0,0,0,44047,6,6,0,6,130641,37787,21773.5,44050,38958,1,5,0,5,2,47.401535749435425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
735,37f80ebd-71f6-4a78-88fe-f6df83745138,232a1a99-7e85-49ed-ae2e-12b64ccb5b5e,search,1.0,1,1,finish,0,0,5151,1245,9,8032,0,0,0,14437,3,2,0,3,32390,14437,10796.666666666666,14440,9286,0,1,0,1,1,49.016085147857666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
203,38116f99-0498-4a9f-a9c6-21d9db94593b,93e8d513-0eaa-47b1-8cdf-fabb287a13e1,search,0.0,0,0,llm_none,0,0,5196,1196,24,35483,0,0,0,41899,8,8,0,8,181935,37069,22741.875,41902,36703,1,6,0,9,0,48.92190742492676,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
581,2b0adebe-7218-4948-ae11-306bbb528fcc,1ed6dee8-ea7f-4ef0-95b0-fc793bfc08af,search,0.0,0,0,llm_none,0,0,5186,1414,18,33365,0,0,0,39983,6,6,0,6,118571,31711,19761.833333333332,39986,34797,1,5,0,4,2,56.50378656387329,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
602,fbd464fc-c28e-46e7-90c3-74b6fb583048,b76618ce-2b06-4940-aecd-59bd45fe2267,search,0.0,0,0,llm_none,0,0,5117,1444,15,35476,0,0,0,42052,5,5,0,5,109136,36133,21827.2,42055,36935,1,3,0,5,0,56.96144199371338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
628,836501e8-0df3-4e51-a35b-aa74cc77ac93,d379b703-5cca-4f9c-9cf6-5266079ad30b,search,0.0,0,0,llm_none,0,0,5137,1394,21,35038,0,0,0,41590,7,7,0,7,148008,35781,21144.0,41593,36453,1,5,0,5,2,57.55033326148987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1246,ccf6a74b-5f54-46c9-95c5-0a479776c53a,d94c46f2-7523-4ac2-98df-8fd559455c7b,search,0.0,0,0,llm_none,0,0,5140,1409,15,35545,0,0,0,42109,5,5,0,5,110836,36131,22167.2,42112,36969,1,3,0,5,3,60.009535789489746,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
550,8896a945-e90e-42a1-a1d2-87559d0c49b5,0a11b008-cf5f-4084-8d53-5711c4359fbc,search,0.0,0,0,llm_none,0,0,5069,1632,9,32228,0,0,0,38938,3,3,0,3,55162,30444,18387.333333333332,38941,33869,1,1,0,3,0,64.74431872367859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1209,848bab15-f64f-4ec3-b361-a1680dbdeede,fcc98d2e-861a-4a6d-b816-2bece7993ceb,search,0.0,0,0,llm_none,0,0,5126,1444,27,34068,0,0,0,40665,9,9,0,9,182544,31488,20282.666666666668,40668,35539,1,8,0,2,7,68.48983907699585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
262,7540ff74-96ce-4529-8c46-bec9a8bd3545,5da5fdb1-137c-4596-a3ba-b66d397a6dcd,search,0.0,0,0,llm_none,0,0,5237,1709,15,33782,0,0,0,40743,5,5,0,5,103410,34817,20682.0,40746,35506,1,4,0,5,0,76.36616945266724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1108,a449a202-b6f4-4b04-a242-6516b94fbcfa,582bbb7f-8a2b-4cb1-8fb6-d4cec6837c31,search,1.0,1,1,finish,0,0,5206,1427,21,18514,0,0,0,25168,7,6,0,7,112946,25168,16135.142857142857,25171,19962,0,5,0,3,3,74.65161347389221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1263,aee9ddd4-5133-488d-9e6a-02df720f135a,fde2a2c3-a63e-4aa3-a7d4-58472af8f3f4,search,0.0,0,0,llm_none,0,0,5209,1504,30,36391,0,0,0,43134,10,10,0,10,230511,37440,23051.1,43137,37925,1,8,0,6,4,80.37900829315186,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
408,4ea09470-a60d-47f4-bb9b-d8e4e8eff6b6,34ef5a4a-a4bc-47b0-8413-b5c9e0d94223,search,0.0,0,0,llm_none,0,0,5135,1385,27,31409,0,0,0,37956,9,9,0,9,193082,36176,21453.555555555555,37959,32821,1,7,0,5,4,80.79232835769653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1101,2e73322c-03f2-405d-a466-91344c7b4bf8,0cc26e43-41a0-448c-99b3-6e7730bdb0cf,search,0.0,0,0,llm_none,0,0,5123,1423,27,34635,0,0,0,41208,9,9,0,9,165846,35764,18427.333333333332,41211,36085,1,7,0,7,2,83.67026972770691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
267,9582bfd2-3733-4a43-afc4-769c32dbb6ab,50bda3b5-c113-4108-ae4b-e87a027555b0,search,1.0,1,1,finish,0,0,5146,1893,9,18638,0,0,0,25686,3,2,0,3,49005,25686,16335.0,25689,20540,0,1,0,3,9,92.39527535438538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
46,b7b01617-706a-4412-b50a-7d3a46f94b87,17fc7906-3729-41cc-a52a-efee68b6a1ac,search,0.0,0,0,llm_none,0,0,5166,1691,24,32333,0,0,0,39214,8,8,0,8,188781,33881,23597.625,39217,34048,1,6,0,6,3,92.75108766555786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1188,dcf0a954-d563-4fe9-8974-aea9bf45fd3c,41716640-aff8-4b89-8381-2976474c9bef,search,0.0,0,0,llm_none,0,0,5131,1694,15,34048,0,0,0,40888,5,5,0,5,104100,34999,20820.0,40891,35757,1,3,0,5,0,91.87054872512817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
495,732cd7eb-1811-4aa8-9457-376bbe890fb2,7624bf50-4895-4b43-b083-00b0926aa739,search,0.0,0,1,finish,0,0,5235,1877,18,30674,0,0,0,37804,6,5,0,6,122046,37804,20341.0,37807,32569,0,4,0,4,1,88.48326992988586,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
